아시아주,이라크,남성,35,72,86,113,92,96,128,149,111,187,149,117
아시아주,이라크,여성,5,21,8,12,2,8,15,18,22,17,9,11
아시아주,브루나이,남성,2,19,2,1,11,14,27,43,38,50,102,360
아시아주,브루나이,여성,3,36,2,0,6,17,21,85,35,47,78,462
아시아주,카타르,남성,10,8,12,14,56,60,134,65,48,66,37,73
아시아주,카타르,여성,2,5,0,4,32,41,136,26,22,28,81,43
아시아주,쿠웨이트,남성,12,2,11,9,28,61,78,89,71,64,82,33
아시아주,쿠웨이트,여성,5,2,1,3,22,21,70,86,66,45,48,29
아시아주,예멘공화국,남성,17,24,21,17,35,63,41,68,71,54,55,42
아시아주,예멘공화국,여성,3,8,3,9,8,4,11,26,14,11,11,13
아시아주,레바논,남성,22,30,25,40,37,64,26,38,51,76,74,37
아시아주,레바논,여성,3,3,1,7,11,7,7,8,7,24,11,7
아시아주,오만,남성,3,9,10,11,53,26,52,41,41,58,45,20
아시아주,오만,여성,4,4,1,6,12,25,47,25,17,19,24,15
아시아주,마카오,남성,1,1,0,6,2,4,10,15,18,33,37,51
아시아주,마카오,여성,2,1,5,0,6,3,7,26,26,43,60,94
아시아주,투르크메니스탄,남성,5,4,2,0,3,4,5,21,34,34,92,53
아시아주,투르크메니스탄,여성,6,19,2,1,1,3,1,26,14,13,20,23
아시아주,키프로스,남성,12,10,18,18,12,22,27,28,16,31,31,18
아시아주,키프로스,여성,1,2,1,2,6,11,7,18,12,17,11,4
아시아주,바레인,남성,1,2,14,3,11,19,9,13,24,33,30,17
아시아주,바레인,여성,2,2,8,0,4,12,5,12,19,18,20,10
아시아주,아프가니스탄,남성,5,16,9,8,12,29,8,28,17,14,16,24
아시아주,아프가니스탄,여성,0,6,1,1,1,5,4,18,12,2,5,6
아시아주,팔레스타인,남성,4,14,7,4,1,16,10,18,17,25,22,23
아시아주,팔레스타인,여성,1,2,0,0,0,3,0,7,6,7,0,2
아시아주,부탄,남성,3,3,1,4,5,6,10,12,13,15,16,4
아시아주,부탄,여성,1,1,1,1,5,6,6,8,10,17,4,8
아시아주,몰디브,남성,3,1,4,2,0,6,10,7,22,12,18,3
아시아주,몰디브,여성,0,0,0,0,1,1,0,1,6,3,12,0
북아메리카주,미국,남성,15223,15407,17413,22939,29192,34779,35812,34756,37647,46023,43771,40844
북아메리카주,미국,여성,4900,5953,5404,12919,17713,25361,24024,22485,27533,34453,28061,27484
