년,월,국적지역,입국자수
2019,1,가나,193
2019,2,가나,215
2019,3,가나,266
2019,4,가나,201
2019,5,가나,246
2019,6,가나,251
2019,7,가나,301
2019,8,가나,338
2019,9,가나,391
2019,10,가나,331
2019,11,가나,263
2019,12,가나,170
2019,1,가봉,11
2019,2,가봉,18
2019,3,가봉,10
2019,4,가봉,13
2019,5,가봉,10
2019,6,가봉,5
2019,7,가봉,22
2019,8,가봉,27
2019,9,가봉,14
2019,10,가봉,10
2019,11,가봉,1
2019,12,가봉,8
2019,1,가이아나,3
2019,2,가이아나,4
2019,3,가이아나,7
2019,4,가이아나,13
2019,5,가이아나,14
2019,6,가이아나,2
2019,7,가이아나,17
2019,8,가이아나,7
2019,9,가이아나,18
2019,10,가이아나,13
2019,11,가이아나,12
2019,12,가이아나,2
2019,1,감비아,10
2019,2,감비아,8
2019,3,감비아,10
2019,4,감비아,7
2019,5,감비아,22
2019,6,감비아,11
2019,7,감비아,29
2019,8,감비아,16
2019,9,감비아,15
2019,10,감비아,15
2019,11,감비아,12
2019,12,감비아,10
2019,1,과테말라,54
2019,2,과테말라,47
2019,3,과테말라,66
2019,4,과테말라,169
2019,5,과테말라,92
2019,6,과테말라,97
2019,7,과테말라,67
2019,8,과테말라,94
2019,9,과테말라,95
2019,10,과테말라,105
2019,11,과테말라,120
2019,12,과테말라,85
2019,1,교황청,1
2019,2,교황청,0
2019,3,교황청,1
2019,4,교황청,2
2019,5,교황청,0
2019,6,교황청,2
2019,7,교황청,0
2019,8,교황청,1
2019,9,교황청,0
2019,10,교황청,1
2019,11,교황청,3
2019,12,교황청,0
2019,1,그레나다,13
2019,2,그레나다,1
2019,3,그레나다,24
2019,4,그레나다,31
2019,5,그레나다,5
2019,6,그레나다,4
2019,7,그레나다,7
2019,8,그레나다,17
2019,9,그레나다,24
2019,10,그레나다,14
2019,11,그레나다,17
2019,12,그레나다,6
2019,1,그리스,785
2019,2,그리스,614
2019,3,그리스,811
2019,4,그리스,803
2019,5,그리스,753
2019,6,그리스,773
2019,7,그리스,809
2019,8,그리스,785
2019,9,그리스,1032
2019,10,그리스,1025
2019,11,그리스,902
2019,12,그리스,758
2019,1,기니,18
2019,2,기니,31
2019,3,기니,21
2019,4,기니,12
2019,5,기니,12
2019,6,기니,12
2019,7,기니,36
2019,8,기니,18
2019,9,기니,21
2019,10,기니,20
2019,11,기니,17
2019,12,기니,29
2019,1,기니비사우,5
2019,2,기니비사우,0
2019,3,기니비사우,2
2019,4,기니비사우,3
2019,5,기니비사우,1
2019,6,기니비사우,1
2019,7,기니비사우,0
2019,8,기니비사우,3
2019,9,기니비사우,2
2019,10,기니비사우,3
2019,11,기니비사우,3
2019,12,기니비사우,4
2019,1,기타,103
2019,2,기타,145
2019,3,기타,170
2019,4,기타,173
2019,5,기타,210
2019,6,기타,219
2019,7,기타,159
2019,8,기타,173
2019,9,기타,191
2019,10,기타,208
2019,11,기타,301
2019,12,기타,157
2019,1,나미비아,13
2019,2,나미비아,10
2019,3,나미비아,10
2019,4,나미비아,10
2019,5,나미비아,18
2019,6,나미비아,14
2019,7,나미비아,18
2019,8,나미비아,20
2019,9,나미비아,13
2019,10,나미비아,12
2019,11,나미비아,16
2019,12,나미비아,13
2019,1,나우루,1
2019,2,나우루,2
2019,3,나우루,1
2019,4,나우루,8
2019,5,나우루,5
2019,6,나우루,5
2019,7,나우루,8
2019,8,나우루,0
2019,9,나우루,3
2019,10,나우루,5
2019,11,나우루,0
2019,12,나우루,0
2019,1,나이지리아,194
2019,2,나이지리아,309
2019,3,나이지리아,249
2019,4,나이지리아,172
2019,5,나이지리아,203
2019,6,나이지리아,231
2019,7,나이지리아,227
2019,8,나이지리아,329
2019,9,나이지리아,606
2019,10,나이지리아,269
2019,11,나이지리아,231
2019,12,나이지리아,208
2019,1,남수단공화국,0
2019,2,남수단공화국,1
2019,3,남수단공화국,2
2019,4,남수단공화국,1
2019,5,남수단공화국,3
2019,6,남수단공화국,3
2019,7,남수단공화국,10
2019,8,남수단공화국,27
2019,9,남수단공화국,0
2019,10,남수단공화국,8
2019,11,남수단공화국,2
2019,12,남수단공화국,1
2019,1,남아프리카공화국,1031
2019,2,남아프리카공화국,1218
2019,3,남아프리카공화국,959
2019,4,남아프리카공화국,1173
2019,5,남아프리카공화국,1070
2019,6,남아프리카공화국,987
2019,7,남아프리카공화국,962
2019,8,남아프리카공화국,1915
2019,9,남아프리카공화국,1220
2019,10,남아프리카공화국,1198
2019,11,남아프리카공화국,711
2019,12,남아프리카공화국,930
2019,1,남조지아 남샌드위치 군도,0
2019,2,남조지아 남샌드위치 군도,0
2019,3,남조지아 남샌드위치 군도,0
2019,4,남조지아 남샌드위치 군도,0
2019,5,남조지아 남샌드위치 군도,0
2019,6,남조지아 남샌드위치 군도,0
2019,7,남조지아 남샌드위치 군도,0
2019,8,남조지아 남샌드위치 군도,0
2019,9,남조지아 남샌드위치 군도,0
