대륙,국적,성별(1),1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
남아메리카주,남조지아 남샌드위치 군도,여자,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
유럽주,러시아(연방),남자,15908 ,12892 ,16623 ,20630 ,20231 ,16367 ,15668 ,15389 ,17628 ,18976 ,16232 ,16451 
유럽주,러시아(연방),여자,9843 ,7736 ,11927 ,14061 ,13254 ,12875 ,13365 ,14240 ,13394 ,14936 ,10913 ,10554 
유럽주,영국,남자,6894 ,5472 ,8320 ,10186 ,7721 ,7224 ,6993 ,8579 ,8862 ,10417 ,7914 ,5924 
유럽주,영국,여자,3534 ,2631 ,4690 ,6700 ,3972 ,4071 ,4041 ,4875 ,4684 ,5652 ,3762 ,3014 
유럽주,독일,남자,5494 ,5241 ,7882 ,8782 ,7543 ,6553 ,6791 ,7472 ,8534 ,9175 ,7648 ,5341 
유럽주,독일,여자,1477 ,1732 ,3367 ,4202 ,2667 ,2487 ,2989 ,3826 ,4229 ,4237 ,2267 ,2053 
유럽주,프랑스,남자,4126 ,3987 ,5051 ,7045 ,6686 ,5554 ,6278 ,7460 ,6571 ,7881 ,5544 ,4545 
유럽주,프랑스,여자,1644 ,1958 ,2581 ,4707 ,3864 ,3131 ,4558 ,5764 ,3826 ,4789 ,2675 ,2363 
유럽주,이탈리아,남자,2261 ,1919 ,2834 ,3368 ,3932 ,3154 ,3357 ,4244 ,3409 ,3859 ,3456 ,2416 
유럽주,이탈리아,여자,515 ,496 ,787 ,1051 ,956 ,1012 ,1074 ,1728 ,1144 ,1133 ,1005 ,705 
유럽주,네덜란드,남자,1804 ,1791 ,2185 ,2791 ,2425 ,2090 ,2642 ,2714 ,2550 ,2907 ,2403 ,1832 
유럽주,네덜란드,여자,499 ,589 ,744 ,1320 ,950 ,838 ,1521 ,1290 ,963 ,1164 ,826 ,658 
유럽주,스페인,남자,1022 ,952 ,1414 ,1759 ,1686 ,1652 ,1856 ,2655 ,1955 ,2028 ,1772 ,1166 
유럽주,스페인,여자,379 ,460 ,614 ,950 ,744 ,968 ,1238 ,1953 ,1217 ,1159 ,865 ,592 
유럽주,우크라이나,남자,2025 ,1840 ,2080 ,2251 ,2116 ,1711 ,1897 ,2577 ,1863 ,2007 ,1850 ,1908 
유럽주,우크라이나,여자,269 ,308 ,341 ,362 ,328 ,299 ,399 ,414 ,438 ,423 ,338 ,316 
유럽주,폴란드,남자,1092 ,1013 ,1474 ,1559 ,1668 ,1568 ,1305 ,1515 ,1661 ,1699 ,1537 ,1089 
유럽주,폴란드,여자,251 ,271 ,505 ,767 ,608 ,648 ,658 ,836 ,934 ,652 ,495 ,330 
유럽주,한국계러시아인,남자,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
유럽주,한국계러시아인,여자,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
유럽주,스웨덴,남자,718 ,641 ,932 ,1314 ,1122 ,1180 ,1067 ,922 ,1265 ,1418 ,1056 ,858 
유럽주,스웨덴,여자,284 ,309 ,551 ,889 ,549 ,918 ,676 ,605 ,771 ,911 ,562 ,460 
유럽주,스위스,남자,561 ,614 ,834 ,1367 ,1086 ,829 ,1166 ,1030 ,1219 ,1363 ,851 ,720 
유럽주,스위스,여자,213 ,291 ,423 ,898 ,519 ,433 ,896 ,665 ,735 ,808 ,348 ,322 
