대륙,국적,성별(1),1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
아프리카주,탄자니아,남자,50 ,83 ,58 ,77 ,37 ,94 ,56 ,100 ,87 ,85 ,91 ,77 
아프리카주,탄자니아,여자,3 ,23 ,12 ,15 ,9 ,23 ,20 ,46 ,19 ,28 ,17 ,13 
아프리카주,수단,남자,75 ,56 ,81 ,72 ,51 ,49 ,76 ,52 ,92 ,108 ,80 ,77 
아프리카주,수단,여자,9 ,13 ,17 ,16 ,12 ,10 ,13 ,25 ,18 ,8 ,13 ,20 
아프리카주,우간다,남자,32 ,67 ,35 ,25 ,59 ,30 ,58 ,66 ,88 ,69 ,40 ,25 
아프리카주,우간다,여자,10 ,18 ,22 ,15 ,16 ,36 ,25 ,37 ,54 ,26 ,24 ,10 
아프리카주,마다가스카르,남자,12 ,12 ,25 ,18 ,174 ,37 ,39 ,19 ,141 ,208 ,13 ,24 
아프리카주,마다가스카르,여자,7 ,10 ,5 ,8 ,9 ,10 ,10 ,15 ,7 ,14 ,2 ,6 
아프리카주,카메룬,남자,34 ,45 ,46 ,42 ,30 ,42 ,59 ,65 ,62 ,42 ,43 ,27 
아프리카주,카메룬,여자,11 ,22 ,19 ,14 ,16 ,19 ,21 ,42 ,31 ,12 ,20 ,11 
아프리카주,짐바브웨,남자,15 ,22 ,87 ,73 ,70 ,26 ,31 ,67 ,40 ,69 ,46 ,19 
아프리카주,짐바브웨,여자,12 ,6 ,7 ,7 ,7 ,21 ,15 ,18 ,11 ,15 ,11 ,9 
아프리카주,세네갈,남자,19 ,29 ,33 ,58 ,37 ,43 ,33 ,44 ,40 ,49 ,52 ,30 
아프리카주,세네갈,여자,4 ,8 ,1 ,36 ,12 ,23 ,19 ,25 ,15 ,8 ,13 ,3 
아프리카주,코트디부아르,남자,6 ,43 ,5 ,23 ,23 ,31 ,59 ,48 ,26 ,68 ,55 ,19 
아프리카주,코트디부아르,여자,8 ,13 ,7 ,12 ,7 ,12 ,23 ,25 ,5 ,17 ,20 ,8 
아프리카주,르완다,남자,17 ,25 ,12 ,14 ,25 ,36 ,30 ,75 ,39 ,37 ,31 ,9 
아프리카주,르완다,여자,8 ,14 ,3 ,5 ,14 ,5 ,14 ,38 ,17 ,16 ,13 ,8 
아프리카주,콩고민주공화국,남자,17 ,31 ,17 ,53 ,39 ,22 ,37 ,38 ,22 ,30 ,11 ,37 
아프리카주,콩고민주공화국,여자,6 ,14 ,4 ,16 ,18 ,6 ,13 ,8 ,9 ,9 ,6 ,12 
아프리카주,앙골라,남자,17 ,16 ,34 ,31 ,47 ,41 ,18 ,38 ,11 ,43 ,17 ,15 
아프리카주,앙골라,여자,1 ,8 ,13 ,2 ,14 ,9 ,6 ,28 ,5 ,15 ,5 ,2 
아프리카주,라이베리아,남자,37 ,47 ,36 ,35 ,35 ,24 ,35 ,21 ,14 ,15 ,14 ,17 
아프리카주,라이베리아,여자,8 ,11 ,6 ,4 ,8 ,8 ,21 ,4 ,4 ,5 ,10 ,3 
아프리카주,모잠비크,남자,10 ,12 ,14 ,14 ,8 ,18 ,22 ,29 ,18 ,34 ,13 ,9 
아프리카주,모잠비크,여자,3 ,8 ,2 ,4 ,5 ,18 ,10 ,14 ,12 ,9 ,7 ,7 
아프리카주,잠비아,남자,12 ,18 ,13 ,19 ,6 ,6 ,14 ,22 ,18 ,10 ,21 ,6 
아프리카주,잠비아,여자,8 ,17 ,4 ,7 ,1 ,4 ,8 ,13 ,10 ,12 ,10 ,5 
아프리카주,말리,남자,8 ,44 ,13 ,9 ,7 ,9 ,20 ,17 ,24 ,42 ,16 ,20 
아프리카주,말리,여자,1 ,5 ,1 ,1 ,2 ,4 ,2 ,2 ,3 ,4 ,4 ,1 
아프리카주,기니,남자,17 ,28 ,21 ,11 ,10 ,12 ,31 ,17 ,17 ,20 ,14 ,27 
아프리카주,기니,여자,1 ,3 ,0 ,1 ,2 ,0 ,5 ,1 ,4 ,0 ,3 ,2 
아프리카주,보츠와나,남자,6 ,7 ,4 ,21 ,9 ,4 ,15 ,11 ,9 ,12 ,14 ,6 
아프리카주,보츠와나,여자,9 ,6 ,4 ,4 ,5 ,3 ,19 ,14 ,5 ,9 ,12 ,8 
아프리카주,토고,남자,5 ,18 ,6 ,9 ,6 ,17 ,15 ,29 ,5 ,9 ,24 ,5 
아프리카주,토고,여자,1 ,2 ,2 ,7 ,0 ,2 ,6 ,3 ,4 ,1 ,3 ,1 
아프리카주,나미비아,남자,11 ,6 ,7 ,10 ,18 ,10 ,16 ,15 ,10 ,9 ,13 ,12 
아프리카주,나미비아,여자,2 ,4 ,3 ,0 ,0 ,4 ,2 ,5 ,3 ,3 ,3 ,1 
아프리카주,감비아,남자,7 ,5 ,10 ,6 ,21 ,9 ,24 ,16 ,15 ,12 ,12 ,10 
아프리카주,감비아,여자,3 ,3 ,0 ,1 ,1 ,2 ,5 ,0 ,0 ,3 ,0 ,0 
아프리카주,말라위,남자,13 ,13 ,6 ,12 ,4 ,6 ,9 ,16 ,19 ,10 ,3 ,8 
아프리카주,말라위,여자,3 ,4 ,2 ,3 ,0 ,7 ,7 ,4 ,2 ,3 ,4 ,3 
아프리카주,부룬디,남자,5 ,20 ,8 ,11 ,8 ,12 ,11 ,22 ,7 ,8 ,5 ,1 
아프리카주,부룬디,여자,1 ,6 ,3 ,1 ,0 ,3 ,7 ,4 ,7 ,1 ,1 ,1 
아프리카주,가봉,남자,7 ,14 ,4 ,10 ,5 ,3 ,12 ,19 ,9 ,7 ,1 ,3 
아프리카주,가봉,여자,4 ,4 ,6 ,3 ,5 ,2 ,10 ,8 ,5 ,3 ,0 ,5 
아프리카주,베냉,남자,4 ,16 ,5 ,13 ,9 ,4 ,15 ,27 ,10 ,4 ,5 ,4 
아프리카주,베냉,여자,2 ,1 ,3 ,1 ,1 ,1 ,8 ,5 ,5 ,3 ,0 ,2 
아프리카주,부르키나파소,남자,5 ,2 ,4 ,11 ,14 ,7 ,19 ,7 ,6 ,24 ,4 ,8 
아프리카주,부르키나파소,여자,0 ,1 ,0 ,2 ,6 ,0 ,3 ,1 ,1 ,2 ,0 ,2 
아프리카주,스와질란드,남자,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
아프리카주,스와질란드,여자,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
아프리카주,세이셸,남자,6 ,5 ,7 ,9 ,10 ,4 ,20 ,18 ,2 ,3 ,8 ,2 
아프리카주,세이셸,여자,0 ,1 ,2 ,0 ,6 ,4 ,2 ,9 ,3 ,2 ,2 ,1 
아프리카주,시에라리온,남자,1 ,7 ,4 ,4 ,8 ,4 ,12 ,8 ,5 ,5 ,6 ,4 
아프리카주,시에라리온,여자,1 ,3 ,1 ,2 ,1 ,1 ,2 ,1 ,5 ,2 ,4 ,1 
아프리카주,에스와티니,남자,3 ,1 ,4 ,3 ,3 ,4 ,6 ,6 ,3 ,7 ,5 ,3 
아프리카주,에스와티니,여자,2 ,0 ,1 ,1 ,1 ,3 ,4 ,5 ,2 ,10 ,4 ,7 
아프리카주,니제르,남자,2 ,16 ,4 ,0 ,5 ,3 ,7 ,5 ,2 ,1 ,3 ,7 
아프리카주,니제르,여자,0 ,3 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,2 ,0 ,4 
아프리카주,콩고,남자,1 ,2 ,4 ,7 ,2 ,0 ,6 ,10 ,6 ,1 ,4 ,2 
아프리카주,콩고,여자,1 ,2 ,4 ,0 ,1 ,0 ,4 ,5 ,2 ,0 ,1 ,0 
아프리카주,레소토,남자,1 ,4 ,0 ,5 ,4 ,1 ,10 ,6 ,0 ,2 ,7 ,1 
아프리카주,레소토,여자,0 ,3 ,0 ,1 ,3 ,2 ,4 ,4 ,0 ,2 ,1 ,0 
아프리카주,남수단공화국,남자,0 ,1 ,2 ,1 ,2 ,1 ,9 ,27 ,0 ,7 ,2 ,1 
아프리카주,남수단공화국,여자,0 ,0 ,0 ,0 ,1 ,2 ,1 ,0 ,0 ,1 ,0 ,0 
아프리카주,소말리아,남자,2 ,12 ,1 ,0 ,3 ,2 ,1 ,2 ,3 ,4 ,0 ,0 
아프리카주,소말리아,여자,0 ,2 ,2 ,5 ,1 ,2 ,2 ,4 ,2 ,0 ,3 ,2 
아프리카주,모리타니,남자,1 ,0 ,10 ,4 ,4 ,0 ,3 ,4 ,1 ,3 ,8 ,0 
아프리카주,모리타니,여자,0 ,4 ,0 ,3 ,0 ,0 ,0 ,0 ,2 ,1 ,0 ,1 
아프리카주,차드,남자,1 ,5 ,5 ,3 ,3 ,1 ,2 ,9 ,4 ,7 ,1 ,0 
아프리카주,차드,여자,0 ,0 ,1 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,0 ,0 
아프리카주,코모로,남자,0 ,0 ,2 ,3 ,1 ,0 ,3 ,3 ,2 ,1 ,5 ,1 
아프리카주,코모로,여자,1 ,0 ,4 ,6 ,0 ,1 ,2 ,3 ,1 ,1 ,2 ,0 
아프리카주,적도기니,남자,1 ,1 ,1 ,1 ,6 ,0 ,8 ,1 ,0 ,4 ,1 ,0 
아프리카주,적도기니,여자,0 ,0 ,0 ,0 ,1 ,0 ,6 ,0 ,1 ,3 ,0 ,0 
아프리카주,카보베르데,남자,0 ,2 ,5 ,1 ,1 ,0 ,1 ,1 ,6 ,2 ,1 ,3 
아프리카주,카보베르데,여자,0 ,0 ,0 ,0 ,1 ,0 ,0 ,2 ,4 ,1 ,0 ,1 
아프리카주,기니비사우,남자,4 ,0 ,2 ,3 ,0 ,0 ,0 ,1 ,1 ,2 ,3 ,4 
아프리카주,기니비사우,여자,1 ,0 ,0 ,0 ,1 ,1 ,0 ,2 ,1 ,1 ,0 ,0 
아프리카주,중앙아프리카공화국,남자,6 ,1 ,3 ,0 ,1 ,0 ,3 ,2 ,1 ,0 ,1 ,1 
아프리카주,중앙아프리카공화국,여자,3 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,1 ,0 ,0 
아프리카주,에리트레아,남자,2 ,1 ,0 ,1 ,2 ,2 ,2 ,0 ,0 ,3 ,0 ,3 
아프리카주,에리트레아,여자,1 ,0 ,0 ,0 ,2 ,2 ,0 ,2 ,0 ,1 ,0 ,0 
아프리카주,상투메프린시페,남자,0 ,8 ,0 ,0 ,0 ,0 ,0 ,6 ,1 ,0 ,0 ,0 
아프리카주,상투메프린시페,여자,0 ,7 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
아프리카주,지부티,남자,1 ,0 ,2 ,0 ,0 ,0 ,5 ,0 ,2 ,0 ,0 ,0 
아프리카주,지부티,여자,1 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,1 ,0 ,0 
기타,기타,남자,76 ,88 ,121 ,114 ,152 ,147 ,97 ,105 ,117 ,138 ,170 ,91 
기타,기타,여자,27 ,57 ,49 ,59 ,58 ,72 ,62 ,68 ,74 ,70 ,131 ,66 
