년,월,국적지역,입국자수
2018,7,네팔,2485
2018,8,네팔,1992
2018,9,네팔,2008
2018,10,네팔,1888
2018,11,네팔,2208
2018,12,네팔,2300
2018,1,노르웨이,1019
2018,2,노르웨이,1803
2018,3,노르웨이,1420
2018,4,노르웨이,1032
2018,5,노르웨이,875
2018,6,노르웨이,1114
2018,7,노르웨이,1310
2018,8,노르웨이,1004
2018,9,노르웨이,1067
2018,10,노르웨이,1332
2018,11,노르웨이,1104
2018,12,노르웨이,758
2018,1,뉴질랜드,2707
2018,2,뉴질랜드,2064
2018,3,뉴질랜드,2385
2018,4,뉴질랜드,3126
2018,5,뉴질랜드,3064
2018,6,뉴질랜드,2894
2018,7,뉴질랜드,2706
2018,8,뉴질랜드,2790
2018,9,뉴질랜드,3321
2018,10,뉴질랜드,3280
2018,11,뉴질랜드,2863
2018,12,뉴질랜드,3452
2018,1,니제르,2
2018,2,니제르,5
2018,3,니제르,6
2018,4,니제르,2
2018,5,니제르,14
2018,6,니제르,5
2018,7,니제르,4
2018,8,니제르,12
2018,9,니제르,2
2018,10,니제르,1
2018,11,니제르,1
2018,12,니제르,2
2018,1,니카라과,3
2018,2,니카라과,22
2018,3,니카라과,35
2018,4,니카라과,46
2018,5,니카라과,40
2018,6,니카라과,20
2018,7,니카라과,20
2018,8,니카라과,26
2018,9,니카라과,45
2018,10,니카라과,26
2018,11,니카라과,48
2018,12,니카라과,14
2018,1,대만,78321
2018,2,대만,90673
2018,3,대만,96811
2018,4,대만,107719
2018,5,대만,91102
2018,6,대만,105435
2018,7,대만,100558
2018,8,대만,103289
2018,9,대만,90122
2018,10,대만,102046
2018,11,대만,90540
2018,12,대만,89599
2018,1,덴마크,717
2018,2,덴마크,823
2018,3,덴마크,1174
2018,4,덴마크,1189
2018,5,덴마크,1029
2018,6,덴마크,887
2018,7,덴마크,1217
2018,8,덴마크,1028
2018,9,덴마크,1073
2018,10,덴마크,1494
2018,11,덴마크,927
2018,12,덴마크,683
2018,1,도미니카공화국,73
2018,2,도미니카공화국,58
2018,3,도미니카공화국,77
2018,4,도미니카공화국,112
2018,5,도미니카공화국,81
2018,6,도미니카공화국,103
2018,7,도미니카공화국,95
2018,8,도미니카공화국,108
2018,9,도미니카공화국,94
2018,10,도미니카공화국,125
2018,11,도미니카공화국,72
2018,12,도미니카공화국,56
2018,1,도미니카연방,8
2018,2,도미니카연방,9
2018,3,도미니카연방,13
2018,4,도미니카연방,19
2018,5,도미니카연방,12
2018,6,도미니카연방,11
2018,7,도미니카연방,18
2018,8,도미니카연방,16
2018,9,도미니카연방,15
2018,10,도미니카연방,17
2018,11,도미니카연방,23
2018,12,도미니카연방,14
2018,1,독일,7448
2018,2,독일,9705
2018,3,독일,11353
2018,4,독일,11039
2018,5,독일,9823
2018,6,독일,8526
2018,7,독일,9223
2018,8,독일,10145
2018,9,독일,10877
2018,10,독일,12748
2018,11,독일,9550
2018,12,독일,6736
2018,1,라오스,628
2018,2,라오스,942
2018,3,라오스,993
2018,4,라오스,1441
2018,5,라오스,758
2018,6,라오스,1183
2018,7,라오스,1073
2018,8,라오스,830
2018,9,라오스,795
2018,10,라오스,1518
2018,11,라오스,1111
2018,12,라오스,1122
2018,1,라이베리아,35
2018,2,라이베리아,56
2018,3,라이베리아,41
2018,4,라이베리아,47
2018,5,라이베리아,70
2018,6,라이베리아,46
2018,7,라이베리아,54
2018,8,라이베리아,46
2018,9,라이베리아,29
2018,10,라이베리아,42
2018,11,라이베리아,40
2018,12,라이베리아,41
2018,1,라트비아,158
2018,2,라트비아,375
2018,3,라트비아,212
2018,4,라트비아,186
2018,5,라트비아,163
2018,6,라트비아,139
2018,7,라트비아,153
2018,8,라트비아,159
2018,9,라트비아,228
2018,10,라트비아,264
2018,11,라트비아,192
2018,12,라트비아,172
2018,1,러시아,22420
2018,2,러시아,21284
2018,3,러시아,26152
2018,4,러시아,31702
2018,5,러시아,27117
2018,6,러시아,27315
2018,7,러시아,28744
2018,8,러시아,23804
2018,9,러시아,24112
2018,10,러시아,28724
2018,11,러시아,23835
2018,12,러시아,23456
2018,1,레바논,76
2018,2,레바논,85
2018,3,레바논,78
2018,4,레바논,100
2018,5,레바논,80
2018,6,레바논,85
2018,7,레바논,73
2018,8,레바논,88
2018,9,레바논,84
