년,월,국적지역,입국자수,날짜,방문년월,계절
2023,8,포르투갈,1009,2023-08-01,2023-08,여름
2023,9,포르투갈,945,2023-09-01,2023-09,가을
2023,10,포르투갈,1091,2023-10-01,2023-10,가을
2023,11,포르투갈,861,2023-11-01,2023-11,가을
2023,12,포르투갈,644,2023-12-01,2023-12,겨울
2024,1,포르투갈,505,2024-01-01,2024-01,겨울
2024,2,포르투갈,590,2024-02-01,2024-02,겨울
2024,3,포르투갈,1399,2024-03-01,2024-03,봄
2024,4,포르투갈,1588,2024-04-01,2024-04,봄
2024,5,포르투갈,1251,2024-05-01,2024-05,봄
2024,6,포르투갈,1080,2024-06-01,2024-06,여름
2024,7,포르투갈,1004,2024-07-01,2024-07,여름
2024,8,포르투갈,1534,2024-08-01,2024-08,여름
2024,9,포르투갈,1316,2024-09-01,2024-09,가을
2024,10,포르투갈,1552,2024-10-01,2024-10,가을
2024,11,포르투갈,1276,2024-11-01,2024-11,가을
2024,12,포르투갈,991,2024-12-01,2024-12,겨울
2022,1,폴란드,405,2022-01-01,2022-01,겨울
2022,2,폴란드,524,2022-02-01,2022-02,겨울
2022,3,폴란드,394,2022-03-01,2022-03,봄
2022,4,폴란드,633,2022-04-01,2022-04,봄
2022,5,폴란드,869,2022-05-01,2022-05,봄
2022,6,폴란드,1018,2022-06-01,2022-06,여름
2022,7,폴란드,970,2022-07-01,2022-07,여름
2022,8,폴란드,1199,2022-08-01,2022-08,여름
2022,9,폴란드,1525,2022-09-01,2022-09,가을
2022,10,폴란드,1734,2022-10-01,2022-10,가을
2022,11,폴란드,1520,2022-11-01,2022-11,가을
2022,12,폴란드,1176,2022-12-01,2022-12,겨울
2023,1,폴란드,1082,2023-01-01,2023-01,겨울
2023,2,폴란드,1203,2023-02-01,2023-02,겨울
2023,3,폴란드,2113,2023-03-01,2023-03,봄
2023,4,폴란드,3293,2023-04-01,2023-04,봄
2023,5,폴란드,2545,2023-05-01,2023-05,봄
2023,6,폴란드,2455,2023-06-01,2023-06,여름
2023,7,폴란드,2753,2023-07-01,2023-07,여름
2023,8,폴란드,2816,2023-08-01,2023-08,여름
2023,9,폴란드,3471,2023-09-01,2023-09,가을
2023,10,폴란드,3244,2023-10-01,2023-10,가을
2023,11,폴란드,2925,2023-11-01,2023-11,가을
2023,12,폴란드,1705,2023-12-01,2023-12,겨울
2024,1,폴란드,1767,2024-01-01,2024-01,겨울
2024,2,폴란드,2010,2024-02-01,2024-02,겨울
2024,3,폴란드,3409,2024-03-01,2024-03,봄
2024,4,폴란드,5249,2024-04-01,2024-04,봄
2024,5,폴란드,4626,2024-05-01,2024-05,봄
2024,6,폴란드,3441,2024-06-01,2024-06,여름
2024,7,폴란드,3548,2024-07-01,2024-07,여름
2024,8,폴란드,4402,2024-08-01,2024-08,여름
2024,9,폴란드,5203,2024-09-01,2024-09,가을
2024,10,폴란드,4693,2024-10-01,2024-10,가을
2024,11,폴란드,3734,2024-11-01,2024-11,가을
2024,12,폴란드,1985,2024-12-01,2024-12,겨울
2022,1,프랑스,1673,2022-01-01,2022-01,겨울
2022,2,프랑스,2873,2022-02-01,2022-02,겨울
2022,3,프랑스,1730,2022-03-01,2022-03,봄
2022,4,프랑스,3379,2022-04-01,2022-04,봄
2022,5,프랑스,4286,2022-05-01,2022-05,봄
2022,6,프랑스,4294,2022-06-01,2022-06,여름
2022,7,프랑스,6065,2022-07-01,2022-07,여름
2022,8,프랑스,9133,2022-08-01,2022-08,여름
2022,9,프랑스,7348,2022-09-01,2022-09,가을
2022,10,프랑스,9670,2022-10-01,2022-10,가을
2022,11,프랑스,7254,2022-11-01,2022-11,가을
2022,12,프랑스,6279,2022-12-01,2022-12,겨울
2023,1,프랑스,5098,2023-01-01,2023-01,겨울
2023,2,프랑스,6763,2023-02-01,2023-02,겨울
2023,3,프랑스,9658,2023-03-01,2023-03,봄
2023,4,프랑스,15900,2023-04-01,2023-04,봄
2023,5,프랑스,13364,2023-05-01,2023-05,봄
2023,6,프랑스,9348,2023-06-01,2023-06,여름
2023,7,프랑스,12619,2023-07-01,2023-07,여름
2023,8,프랑스,16823,2023-08-01,2023-08,여름
2023,9,프랑스,12235,2023-09-01,2023-09,가을
2023,10,프랑스,14866,2023-10-01,2023-10,가을
2023,11,프랑스,11428,2023-11-01,2023-11,가을
2023,12,프랑스,7748,2023-12-01,2023-12,겨울
2024,1,프랑스,6671,2024-01-01,2024-01,겨울
2024,2,프랑스,8536,2024-02-01,2024-02,겨울
2024,3,프랑스,12438,2024-03-01,2024-03,봄
2024,4,프랑스,22190,2024-04-01,2024-04,봄
2024,5,프랑스,17589,2024-05-01,2024-05,봄
2024,6,프랑스,11163,2024-06-01,2024-06,여름
2024,7,프랑스,14226,2024-07-01,2024-07,여름
2024,8,프랑스,18796,2024-08-01,2024-08,여름
2024,9,프랑스,14402,2024-09-01,2024-09,가을
2024,10,프랑스,19277,2024-10-01,2024-10,가을
2024,11,프랑스,12838,2024-11-01,2024-11,가을
2024,12,프랑스,9304,2024-12-01,2024-12,겨울
2022,1,핀란드,281,2022-01-01,2022-01,겨울
2022,2,핀란드,397,2022-02-01,2022-02,겨울
2022,3,핀란드,151,2022-03-01,2022-03,봄
2022,4,핀란드,284,2022-04-01,2022-04,봄
2022,5,핀란드,415,2022-05-01,2022-05,봄
2022,6,핀란드,513,2022-06-01,2022-06,여름
2022,7,핀란드,358,2022-07-01,2022-07,여름
2022,8,핀란드,511,2022-08-01,2022-08,여름
2022,9,핀란드,483,2022-09-01,2022-09,가을
2022,10,핀란드,864,2022-10-01,2022-10,가을
2022,11,핀란드,696,2022-11-01,2022-11,가을
2022,12,핀란드,672,2022-12-01,2022-12,겨울
2023,1,핀란드,664,2023-01-01,2023-01,겨울
2023,2,핀란드,754,2023-02-01,2023-02,겨울
2023,3,핀란드,986,2023-03-01,2023-03,봄
2023,4,핀란드,1119,2023-04-01,2023-04,봄
2023,5,핀란드,1295,2023-05-01,2023-05,봄
2023,6,핀란드,1137,2023-06-01,2023-06,여름
2023,7,핀란드,1699,2023-07-01,2023-07,여름
2023,8,핀란드,1001,2023-08-01,2023-08,여름
2023,9,핀란드,1034,2023-09-01,2023-09,가을
2023,10,핀란드,1250,2023-10-01,2023-10,가을
2023,11,핀란드,1117,2023-11-01,2023-11,가을
2023,12,핀란드,830,2023-12-01,2023-12,겨울
2024,1,핀란드,884,2024-01-01,2024-01,겨울
2024,2,핀란드,947,2024-02-01,2024-02,겨울
2024,3,핀란드,1327,2024-03-01,2024-03,봄
2024,4,핀란드,1418,2024-04-01,2024-04,봄
2024,5,핀란드,1375,2024-05-01,2024-05,봄
2024,6,핀란드,1342,2024-06-01,2024-06,여름
2024,7,핀란드,1018,2024-07-01,2024-07,여름
2024,8,핀란드,983,2024-08-01,2024-08,여름
2024,9,핀란드,1208,2024-09-01,2024-09,가을
2024,10,핀란드,1495,2024-10-01,2024-10,가을
2024,11,핀란드,1171,2024-11-01,2024-11,가을
2024,12,핀란드,956,2024-12-01,2024-12,겨울
2022,1,필리핀,9478,2022-01-01,2022-01,겨울
2022,2,필리핀,9244,2022-02-01,2022-02,겨울
2022,3,필리핀,11677,2022-03-01,2022-03,봄
2022,4,필리핀,12493,2022-04-01,2022-04,봄
2022,5,필리핀,14630,2022-05-01,2022-05,봄
2022,6,필리핀,15732,2022-06-01,2022-06,여름
2022,7,필리핀,18873,2022-07-01,2022-07,여름
2022,8,필리핀,18367,2022-08-01,2022-08,여름
2022,9,필리핀,19003,2022-09-01,2022-09,가을
2022,10,필리핀,27614,2022-10-01,2022-10,가을
2022,11,필리핀,24656,2022-11-01,2022-11,가을
2022,12,필리핀,24762,2022-12-01,2022-12,겨울
2023,1,필리핀,17722,2023-01-01,2023-01,겨울
2023,2,필리핀,15603,2023-02-01,2023-02,겨울
2023,3,필리핀,25688,2023-03-01,2023-03,봄
2023,4,필리핀,36105,2023-04-01,2023-04,봄
2023,5,필리핀,29090,2023-05-01,2023-05,봄
2023,6,필리핀,30334,2023-06-01,2023-06,여름
2023,7,필리핀,27315,2023-07-01,2023-07,여름
2023,8,필리핀,25665,2023-08-01,2023-08,여름
2023,9,필리핀,28190,2023-09-01,2023-09,가을
2023,10,필리핀,44276,2023-10-01,2023-10,가을
2023,11,필리핀,40023,2023-11-01,2023-11,가을
2023,12,필리핀,36035,2023-12-01,2023-12,겨울
2024,1,필리핀,28756,2024-01-01,2024-01,겨울
2024,2,필리핀,27295,2024-02-01,2024-02,겨울
2024,3,필리핀,55983,2024-03-01,2024-03,봄
2024,4,필리핀,51544,2024-04-01,2024-04,봄
2024,5,필리핀,45829,2024-05-01,2024-05,봄
2024,6,필리핀,46129,2024-06-01,2024-06,여름
2024,7,필리핀,35688,2024-07-01,2024-07,여름
2024,8,필리핀,36843,2024-08-01,2024-08,여름
2024,9,필리핀,41532,2024-09-01,2024-09,가을
2024,10,필리핀,59677,2024-10-01,2024-10,가을
2024,11,필리핀,51570,2024-11-01,2024-11,가을
2024,12,필리핀,50253,2024-12-01,2024-12,겨울
2022,1,헝가리,117,2022-01-01,2022-01,겨울
2022,2,헝가리,160,2022-02-01,2022-02,겨울
2022,3,헝가리,133,2022-03-01,2022-03,봄
2022,4,헝가리,193,2022-04-01,2022-04,봄
2022,5,헝가리,270,2022-05-01,2022-05,봄
2022,6,헝가리,274,2022-06-01,2022-06,여름
2022,7,헝가리,290,2022-07-01,2022-07,여름
2022,8,헝가리,356,2022-08-01,2022-08,여름
2022,9,헝가리,376,2022-09-01,2022-09,가을
2022,10,헝가리,528,2022-10-01,2022-10,가을
2022,11,헝가리,370,2022-11-01,2022-11,가을
2022,12,헝가리,397,2022-12-01,2022-12,겨울
2023,1,헝가리,358,2023-01-01,2023-01,겨울
2023,2,헝가리,350,2023-02-01,2023-02,겨울
2023,3,헝가리,646,2023-03-01,2023-03,봄
2023,4,헝가리,845,2023-04-01,2023-04,봄
2023,5,헝가리,684,2023-05-01,2023-05,봄
2023,6,헝가리,541,2023-06-01,2023-06,여름
2023,7,헝가리,861,2023-07-01,2023-07,여름
2023,8,헝가리,858,2023-08-01,2023-08,여름
2023,9,헝가리,646,2023-09-01,2023-09,가을
2023,10,헝가리,946,2023-10-01,2023-10,가을
2023,11,헝가리,488,2023-11-01,2023-11,가을
2023,12,헝가리,382,2023-12-01,2023-12,겨울
2024,1,헝가리,446,2024-01-01,2024-01,겨울
2024,2,헝가리,403,2024-02-01,2024-02,겨울
2024,3,헝가리,900,2024-03-01,2024-03,봄
2024,4,헝가리,1076,2024-04-01,2024-04,봄
2024,5,헝가리,951,2024-05-01,2024-05,봄
2024,6,헝가리,704,2024-06-01,2024-06,여름
2024,7,헝가리,693,2024-07-01,2024-07,여름
2024,8,헝가리,821,2024-08-01,2024-08,여름
2024,9,헝가리,818,2024-09-01,2024-09,가을
2024,10,헝가리,1164,2024-10-01,2024-10,가을
2024,11,헝가리,625,2024-11-01,2024-11,가을
2024,12,헝가리,505,2024-12-01,2024-12,겨울
2022,1,홍콩,85,2022-01-01,2022-01,겨울
2022,2,홍콩,282,2022-02-01,2022-02,겨울
2022,3,홍콩,155,2022-03-01,2022-03,봄
2022,4,홍콩,158,2022-04-01,2022-04,봄
2022,5,홍콩,326,2022-05-01,2022-05,봄
2022,6,홍콩,664,2022-06-01,2022-06,여름
2022,7,홍콩,1238,2022-07-01,2022-07,여름
2022,8,홍콩,2003,2022-08-01,2022-08,여름
2022,9,홍콩,3179,2022-09-01,2022-09,가을
2022,10,홍콩,10970,2022-10-01,2022-10,가을
2022,11,홍콩,14451,2022-11-01,2022-11,가을
2022,12,홍콩,26713,2022-12-01,2022-12,겨울
2023,1,홍콩,26605,2023-01-01,2023-01,겨울
2023,2,홍콩,16075,2023-02-01,2023-02,겨울
2023,3,홍콩,26791,2023-03-01,2023-03,봄
2023,4,홍콩,37617,2023-04-01,2023-04,봄
2023,5,홍콩,28315,2023-05-01,2023-05,봄
2023,6,홍콩,31633,2023-06-01,2023-06,여름
2023,7,홍콩,39274,2023-07-01,2023-07,여름
2023,8,홍콩,42821,2023-08-01,2023-08,여름
2023,9,홍콩,30096,2023-09-01,2023-09,가을
2023,10,홍콩,40955,2023-10-01,2023-10,가을
2023,11,홍콩,37687,2023-11-01,2023-11,가을
2023,12,홍콩,42444,2023-12-01,2023-12,겨울
2024,1,홍콩,25612,2024-01-01,2024-01,겨울
2024,2,홍콩,35322,2024-02-01,2024-02,겨울
2024,3,홍콩,48837,2024-03-01,2024-03,봄
2024,4,홍콩,42287,2024-04-01,2024-04,봄
2024,5,홍콩,45455,2024-05-01,2024-05,봄
2024,6,홍콩,54023,2024-06-01,2024-06,여름
2024,7,홍콩,57982,2024-07-01,2024-07,여름
2024,8,홍콩,61592,2024-08-01,2024-08,여름
2024,9,홍콩,39815,2024-09-01,2024-09,가을
2024,10,홍콩,52005,2024-10-01,2024-10,가을
2024,11,홍콩,46366,2024-11-01,2024-11,가을
2024,12,홍콩,58347,2024-12-01,2024-12,겨울
