년,월,국적지역,입국자수
2025,5,말레이시아,15911
2025,6,말레이시아,18771
2025,7,말레이시아,12908
2025,8,말레이시아,16777
2025,9,말레이시아,13985
2025,10,말레이시아,25529
2025,11,말레이시아,29648
2025,12,말레이시아,34775
2026,1,말레이시아,7071
2026,2,말레이시아,24475
2026,3,말레이시아,18988
2026,4,말레이시아,19170
2026,5,말레이시아,13549
2026,6,말레이시아,18086
2026,7,말레이시아,12575
2026,8,말레이시아,16513
2026,9,말레이시아,10911
2026,10,말레이시아,22356
2026,11,말레이시아,27250
2026,12,말레이시아,32078
2018,1,미국,60162
2018,2,미국,61399
2018,3,미국,92108
2018,4,미국,104278
2018,5,미국,98880
2018,6,미국,114577
2018,7,미국,100986
2018,8,미국,85375
2018,9,미국,90185
2018,10,미국,107815
2018,11,미국,85779
2018,12,미국,76298
2019,1,미국,61580
2019,2,미국,62465
2019,3,미국,91556
2019,4,미국,109418
2019,5,미국,100965
2019,6,미국,114121
2019,7,미국,104455
2019,8,미국,87490
2019,9,미국,92989
2019,10,미국,107719
2019,11,미국,88129
2019,12,미국,78840
2023,1,미국,66468
2023,2,미국,67415
2023,3,미국,98804
2023,4,미국,118069
2023,5,미국,110071
2023,6,미국,125724
2023,7,미국,116232
2023,8,미국,98353
2023,9,미국,105595
2023,10,미국,123504
2023,11,미국,102042
2023,12,미국,92147
2024,1,미국,74327
2024,2,미국,75644
2024,3,미국,121211
2024,4,미국,124146
2024,5,미국,125385
2024,6,미국,154082
2024,7,미국,127291
2024,8,미국,110523
2024,9,미국,116144
2024,10,미국,149078
2024,11,미국,113428
2024,12,미국,100351
2025,1,미국,84322
2025,2,미국,85179
2025,3,미국,120124
2025,4,미국,161085
2025,5,미국,141823
2025,6,미국,153760
2025,7,미국,153261
2025,8,미국,126903
2025,9,미국,137403
2025,10,미국,150519
2025,11,미국,131555
2025,12,미국,119675
2026,1,미국,94338
2026,2,미국,94611
2026,3,미국,130322
2026,4,미국,184094
2026,5,미국,157559
2026,6,미국,166505
2026,7,미국,172575
2026,8,미국,141370
2026,9,미국,153671
2026,10,미국,162960
2026,11,미국,146742
2026,12,미국,133902
2018,1,베트남,24833
2018,2,베트남,38127
2018,3,베트남,55922
2018,4,베트남,60151
