국적지역,연도분기,입국자수
네덜란드,2025년 4분기 (겨울 12~2월),3909
네덜란드,2025년 4분기 (겨울 12~2월),4584
네덜란드,2025년 1분기 (봄 3~5월),6597
네덜란드,2025년 1분기 (봄 3~5월),5707
네덜란드,2025년 1분기 (봄 3~5월),5759
네덜란드,2025년 2분기 (여름 6~8월),6045
네덜란드,2025년 2분기 (여름 6~8월),8727
네덜란드,2025년 2분기 (여름 6~8월),6400
네덜란드,2025년 3분기 (가을 9~11월),6253
네덜란드,2025년 3분기 (가을 9~11월),6342
네덜란드,2025년 3분기 (가을 9~11월),6315
네덜란드,2025년 4분기 (겨울 12~2월),5785
네덜란드,2026년 4분기 (겨울 12~2월),4582
네덜란드,2026년 4분기 (겨울 12~2월),5403
네덜란드,2026년 1분기 (봄 3~5월),7775
네덜란드,2026년 1분기 (봄 3~5월),6173
네덜란드,2026년 1분기 (봄 3~5월),6363
네덜란드,2026년 2분기 (여름 6~8월),6994
네덜란드,2026년 2분기 (여름 6~8월),9808
네덜란드,2026년 2분기 (여름 6~8월),6890
네덜란드,2026년 3분기 (가을 9~11월),6840
네덜란드,2026년 3분기 (가을 9~11월),6809
네덜란드,2026년 3분기 (가을 9~11월),7083
네덜란드,2026년 4분기 (겨울 12~2월),6612
네팔,2025년 4분기 (겨울 12~2월),4350
네팔,2025년 4분기 (겨울 12~2월),3787
네팔,2025년 1분기 (봄 3~5월),2740
네팔,2025년 1분기 (봄 3~5월),2649
네팔,2025년 1분기 (봄 3~5월),4151
네팔,2025년 2분기 (여름 6~8월),5376
네팔,2025년 2분기 (여름 6~8월),4821
네팔,2025년 2분기 (여름 6~8월),4244
네팔,2025년 3분기 (가을 9~11월),3032
네팔,2025년 3분기 (가을 9~11월),3197
네팔,2025년 3분기 (가을 9~11월),3741
네팔,2025년 4분기 (겨울 12~2월),4282
네팔,2026년 4분기 (겨울 12~2월),5194
네팔,2026년 4분기 (겨울 12~2월),4181
네팔,2026년 1분기 (봄 3~5월),2702
네팔,2026년 1분기 (봄 3~5월),2840
네팔,2026년 1분기 (봄 3~5월),4633
네팔,2026년 2분기 (여름 6~8월),6082
네팔,2026년 2분기 (여름 6~8월),5363
네팔,2026년 2분기 (여름 6~8월),4370
네팔,2026년 3분기 (가을 9~11월),3130
네팔,2026년 3분기 (가을 9~11월),3505
네팔,2026년 3분기 (가을 9~11월),3985
네팔,2026년 4분기 (겨울 12~2월),4720
뉴질랜드,2025년 4분기 (겨울 12~2월),3946
뉴질랜드,2025년 4분기 (겨울 12~2월),1746
뉴질랜드,2025년 1분기 (봄 3~5월),-36
뉴질랜드,2025년 1분기 (봄 3~5월),2325
뉴질랜드,2025년 1분기 (봄 3~5월),2338
뉴질랜드,2025년 2분기 (여름 6~8월),3000
뉴질랜드,2025년 2분기 (여름 6~8월),3290
뉴질랜드,2025년 2분기 (여름 6~8월),2156
뉴질랜드,2025년 3분기 (가을 9~11월),3439
뉴질랜드,2025년 3분기 (가을 9~11월),2729
뉴질랜드,2025년 3분기 (가을 9~11월),2151
뉴질랜드,2025년 4분기 (겨울 12~2월),3340
뉴질랜드,2026년 4분기 (겨울 12~2월),4939
뉴질랜드,2026년 4분기 (겨울 12~2월),1921
뉴질랜드,2026년 1분기 (봄 3~5월),-751
뉴질랜드,2026년 1분기 (봄 3~5월),2171
뉴질랜드,2026년 1분기 (봄 3~5월),2320
뉴질랜드,2026년 2분기 (여름 6~8월),3132
뉴질랜드,2026년 2분기 (여름 6~8월),3555
뉴질랜드,2026년 2분기 (여름 6~8월),2109
뉴질랜드,2026년 3분기 (가을 9~11월),3460
뉴질랜드,2026년 3분기 (가을 9~11월),2373
뉴질랜드,2026년 3분기 (가을 9~11월),1845
뉴질랜드,2026년 4분기 (겨울 12~2월),3077
대만,2025년 4분기 (겨울 12~2월),147618
대만,2025년 4분기 (겨울 12~2월),155054
대만,2025년 1분기 (봄 3~5월),138702
대만,2025년 1분기 (봄 3~5월),180301
대만,2025년 1분기 (봄 3~5월),151387
대만,2025년 2분기 (여름 6~8월),178802
대만,2025년 2분기 (여름 6~8월),160290
대만,2025년 2분기 (여름 6~8월),153350
대만,2025년 3분기 (가을 9~11월),162612
대만,2025년 3분기 (가을 9~11월),134283
대만,2025년 3분기 (가을 9~11월),180602
대만,2025년 4분기 (겨울 12~2월),160083
대만,2026년 4분기 (겨울 12~2월),148746
대만,2026년 4분기 (겨울 12~2월),163695
대만,2026년 1분기 (봄 3~5월),138346
대만,2026년 1분기 (봄 3~5월),191003
대만,2026년 1분기 (봄 3~5월),154545
대만,2026년 2분기 (여름 6~8월),184775
대만,2026년 2분기 (여름 6~8월),160661
대만,2026년 2분기 (여름 6~8월),152251
대만,2026년 3분기 (가을 9~11월),167903
대만,2026년 3분기 (가을 9~11월),130278
대만,2026년 3분기 (가을 9~11월),190041
대만,2026년 4분기 (겨울 12~2월),162894
독일,2025년 4분기 (겨울 12~2월),11196
독일,2025년 4분기 (겨울 12~2월),14097
독일,2025년 1분기 (봄 3~5월),14958
독일,2025년 1분기 (봄 3~5월),21754
독일,2025년 1분기 (봄 3~5월),17633
독일,2025년 2분기 (여름 6~8월),17629
독일,2025년 2분기 (여름 6~8월),19192
독일,2025년 2분기 (여름 6~8월),18539
독일,2025년 3분기 (가을 9~11월),18730
독일,2025년 3분기 (가을 9~11월),17932
독일,2025년 3분기 (가을 9~11월),18466
독일,2025년 4분기 (겨울 12~2월),17003
독일,2026년 4분기 (겨울 12~2월),13654
독일,2026년 4분기 (겨울 12~2월),17550
독일,2026년 1분기 (봄 3~5월),16685
독일,2026년 1분기 (봄 3~5월),24407
독일,2026년 1분기 (봄 3~5월),20151
독일,2026년 2분기 (여름 6~8월),20804
독일,2026년 2분기 (여름 6~8월),22277
독일,2026년 2분기 (여름 6~8월),20556
독일,2026년 3분기 (가을 9~11월),20368
독일,2026년 3분기 (가을 9~11월),19282
독일,2026년 3분기 (가을 9~11월),21282
독일,2026년 4분기 (겨울 12~2월),19890
러시아,2025년 4분기 (겨울 12~2월),17229
러시아,2025년 4분기 (겨울 12~2월),17438
러시아,2025년 1분기 (봄 3~5월),22603
러시아,2025년 1분기 (봄 3~5월),24054
러시아,2025년 1분기 (봄 3~5월),23091
러시아,2025년 2분기 (여름 6~8월),25364
러시아,2025년 2분기 (여름 6~8월),21314
러시아,2025년 2분기 (여름 6~8월),22097
러시아,2025년 3분기 (가을 9~11월),22323
러시아,2025년 3분기 (가을 9~11월),21257
러시아,2025년 3분기 (가을 9~11월),24155
러시아,2025년 4분기 (겨울 12~2월),24159
러시아,2026년 4분기 (겨울 12~2월),18091
러시아,2026년 4분기 (겨울 12~2월),18590
러시아,2026년 1분기 (봄 3~5월),24671
러시아,2026년 1분기 (봄 3~5월),25966
러시아,2026년 1분기 (봄 3~5월),24873
러시아,2026년 2분기 (여름 6~8월),27739
러시아,2026년 2분기 (여름 6~8월),21670
러시아,2026년 2분기 (여름 6~8월),22936
러시아,2026년 3분기 (가을 9~11월),23332
러시아,2026년 3분기 (가을 9~11월),21593
러시아,2026년 3분기 (가을 9~11월),26170
러시아,2026년 4분기 (겨울 12~2월),26295
말레이시아,2025년 4분기 (겨울 12~2월),20488
말레이시아,2025년 4분기 (겨울 12~2월),41974
말레이시아,2025년 1분기 (봄 3~5월),31198
말레이시아,2025년 1분기 (봄 3~5월),31781
말레이시아,2025년 1분기 (봄 3~5월),29399
말레이시아,2025년 2분기 (여름 6~8월),33253
말레이시아,2025년 2분기 (여름 6~8월),27606
말레이시아,2025년 2분기 (여름 6~8월),33484
말레이시아,2025년 3분기 (가을 9~11월),28831
말레이시아,2025년 3분기 (가을 9~11월),38134
말레이시아,2025년 3분기 (가을 9~11월),42250
말레이시아,2025년 4분기 (겨울 12~2월),47025
말레이시아,2026년 4분기 (겨울 12~2월),21651
말레이시아,2026년 4분기 (겨울 12~2월),50583
말레이시아,2026년 1분기 (봄 3~5월),34232
말레이시아,2026년 1분기 (봄 3~5월),33988
말레이시아,2026년 1분기 (봄 3~5월),31664
말레이시아,2026년 2분기 (여름 6~8월),38116
말레이시아,2026년 2분기 (여름 6~8월),31353
말레이시아,2026년 2분기 (여름 6~8월),38180
말레이시아,2026년 3분기 (가을 9~11월),29615
말레이시아,2026년 3분기 (가을 9~11월),39323
말레이시아,2026년 3분기 (가을 9~11월),45480
말레이시아,2026년 4분기 (겨울 12~2월),50394
멕시코,2025년 4분기 (겨울 12~2월),8523
멕시코,2025년 4분기 (겨울 12~2월),6494
멕시코,2025년 1분기 (봄 3~5월),10388
멕시코,2025년 1분기 (봄 3~5월),11313
멕시코,2025년 1분기 (봄 3~5월),11383
