국  적,성별,1 월,2 월,3 월,4 월,5 월,6 월,7 월,8 월,9 월,10 월,11 월,12 월
카  타  르,여,70,23,50,108,18,75,148,188,17,72,26,112
시  리  아,남,105,77,124,140,86,111,136,84,170,121,94,113
시  리  아,여,5,14,28,7,10,27,28,24,18,27,13,17
예멘공화국,남,41,40,50,120,441,30,41,36,46,47,47,35
예멘공화국,여,16,16,13,15,35,12,13,17,14,9,4,11
오      만,남,73,45,75,113,40,52,83,71,105,79,45,46
오      만,여,15,12,25,17,20,26,65,66,15,17,14,18
티모르 민주공화국,남,120,88,81,43,51,112,72,103,68,105,42,56
티모르 민주공화국,여,12,8,16,4,10,5,7,23,10,11,9,6
레  바  논,남,66,71,68,74,67,66,59,72,69,86,97,62
레  바  논,여,10,14,10,26,13,19,14,16,15,26,11,5
키 프 로 스,남,63,48,54,79,66,43,49,76,66,64,62,40
키 프 로 스,여,13,12,14,25,13,14,20,29,17,13,13,5
바  레  인,남,41,19,31,58,37,65,49,40,32,47,50,40
바  레  인,여,5,10,14,28,13,33,23,56,29,22,14,10
아프가니스탄,남,28,46,53,48,54,30,55,56,59,74,77,45
아프가니스탄,여,2,2,8,7,4,6,5,28,22,12,10,7
부      탄,남,9,16,31,33,26,46,19,26,45,49,40,14
부      탄,여,6,8,7,17,12,24,14,16,13,23,18,14
투르크메니스탄,남,19,13,25,25,11,16,17,40,13,26,26,30
투르크메니스탄,여,13,12,10,9,8,14,7,31,10,16,9,19
팔레스타인,남,14,16,22,20,11,16,36,30,27,25,33,14
팔레스타인,여,4,4,8,2,3,15,14,6,12,2,8,1
몰  디  브,남,8,9,15,11,15,16,14,25,20,17,13,13
몰  디  브,여,1,3,2,12,1,8,4,6,4,12,8,1
미      국,남,43946,48819,53790,60598,54805,58698,56874,50144,51228,63882,52025,47654
미      국,여,24123,27977,34076,40072,38097,43705,41236,34321,34667,44226,33202,30008
캐  나  다,남,7372,9563,10235,9908,9961,7931,8120,8366,8633,11137,8371,8004
캐  나  다,여,5305,7119,8801,8804,8874,6736,7132,6730,7258,9227,7004,6268
멕  시  코,남,986,995,1424,1556,1418,1341,1658,1319,1281,1759,1416,1165
멕  시  코,여,431,436,874,829,678,709,1285,767,732,953,746,714
브  라  질,남,963,1051,1087,1156,1182,1092,998,1172,1149,1318,1092,865
브  라  질,여,480,542,526,668,561,544,634,628,604,677,519,573
콜 롬 비 아,남,171,156,243,301,305,331,314,270,375,405,341,210
콜 롬 비 아,여,118,158,173,215,218,284,279,211,265,311,238,167
칠      레,남,216,215,287,290,333,265,224,267,407,328,253,192
칠      레,여,131,195,175,181,170,116,158,153,193,230,129,140
아르헨티나,남,244,187,259,371,281,225,260,226,282,354,213,153
아르헨티나,여,187,138,143,220,176,118,180,118,161,194,102,88
페      루,남,125,161,203,255,234,212,203,239,236,320,219,137
페      루,여,104,160,156,142,149,120,141,176,171,152,177,112
에 콰 도 르,남,52,88,89,128,120,88,103,157,171,169,175,99
에 콰 도 르,여,40,64,62,79,61,57,69,149,87,114,73,33
베네수엘라,남,122,96,114,124,118,96,108,97,114,111,111,108
베네수엘라,여,49,59,56,67,52,41,67,62,78,48,52,46
온 두 라 스,남,13,51,96,123,170,73,77,80,131,165,66,24
온 두 라 스,여,12,18,16,29,24,24,19,24,25,24,19,26
코스타리카,남,35,49,62,65,58,61,52,63,134,74,89,41
코스타리카,여,29,31,40,48,38,32,50,35,50,72,48,39
자 메 이 카,남,37,41,94,104,55,57,66,58,64,163,65,41
자 메 이 카,여,9,15,25,20,17,18,37,38,25,28,9,26
도미니카공화국,남,47,40,63,83,59,66,61,74,68,102,51,35
도미니카공화국,여,26,18,14,29,22,37,34,34,26,23,21,21
과 테 말 라,남,30,50,60,84,63,59,30,32,74,73,86,34
과 테 말 라,여,29,16,29,29,35,32,19,37,38,42,44,23
엘살바도르,남,29,51,49,63,96,65,59,71,60,75,62,57
엘살바도르,여,22,23,23,20,21,13,36,26,24,20,18,27
파  나  마,남,32,54,31,83,51,37,40,41,45,87,38,34
파  나  마,여,24,53,17,43,27,38,32,50,35,39,30,20
볼 리 비 아,남,41,38,29,43,25,36,44,48,39,54,31,38
볼 리 비 아,여,22,15,14,15,12,17,41,20,19,19,12,15
파 라 과 이,남,21,25,28,18,37,25,23,31,30,25,13,11
파 라 과 이,여,22,27,24,23,39,31,27,30,23,26,8,26
우 루 과 이,남,12,11,19,21,24,19,24,25,18,51,23,12
우 루 과 이,여,7,11,13,10,12,8,11,25,10,22,5,4
니 카 라 과,남,1,15,22,42,17,9,8,13,31,20,35,6
니 카 라 과,여,2,7,13,4,23,11,12,13,14,6,13,8
트리니다드토바고,남,6,7,17,21,14,9,15,21,14,29,16,12
트리니다드토바고,여,5,8,14,13,6,8,9,19,15,17,16,14
세인트크리스토퍼 네비스,남,5,15,25,14,9,17,24,20,28,21,17,15
세인트크리스토퍼 네비스,여,3,11,4,3,4,8,3,5,6,4,3,6
쿠      바,남,3,6,15,10,10,4,5,21,20,14,3,16
쿠      바,여,5,3,7,10,10,5,8,9,11,1,2,2
도미니카연방,남,6,8,12,16,9,9,16,13,13,17,16,13
도미니카연방,여,2,1,1,3,3,2,2,3,2,0,7,1
아  이  티,남,5,8,8,9,6,17,11,6,15,15,4,9
아  이  티,여,0,3,4,3,3,18,2,5,0,2,3,4
바베이도스,남,5,8,2,24,5,3,6,6,3,5,8,1
바베이도스,여,5,7,2,42,1,2,7,3,3,3,1,3
바  하  마,남,2,4,6,14,11,7,9,8,9,6,4,2
바  하  마,여,6,2,0,6,3,5,3,12,2,7,2,3
그 레 나 다,남,2,4,7,10,6,2,2,6,9,17,13,8
그 레 나 다,여,1,0,1,2,1,1,2,8,5,2,3,3
가 이 아 나,남,1,0,9,11,9,12,0,7,10,9,5,1
가 이 아 나,여,0,2,1,0,6,3,4,2,4,2,0,5
앤티카 바부다,남,7,5,7,1,9,3,5,8,6,4,8,4
앤티카 바부다,여,1,4,3,0,5,8,4,5,2,1,0,2
