ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,국적
2022-05-01,42827.382360587275,-5782.462113586007,128636.67293756455,42827.382360587275,42827.382360587275,14727.171239045307,14727.171239045307,14727.171239045307,14727.171239045307,14727.171239045307,14727.171239045307,0.0,0.0,0.0,57554.55359963258,중국
2022-06-01,50001.28537634064,3798.137756572876,140763.6262389196,50001.28537634064,50001.28537634064,21242.24895534676,21242.24895534676,21242.24895534676,21242.24895534676,21242.24895534676,21242.24895534676,0.0,0.0,0.0,71243.5343316874,중국
2022-07-01,56943.79499265344,30270.256748555767,159218.20832114428,56943.79499265344,56943.79499265344,36348.45250706757,36348.45250706757,36348.45250706757,36348.45250706757,36348.45250706757,36348.45250706757,0.0,0.0,0.0,93292.24749972101,중국
2022-08-01,64117.727150047554,47537.85103853046,185369.8752822633,64117.727150047554,64117.727150047554,50259.08320360785,50259.08320360785,50259.08320360785,50259.08320360785,50259.08320360785,50259.08320360785,0.0,0.0,0.0,114376.8103536554,중국
2022-09-01,71291.75327973824,43604.23417830452,181563.96987838455,71291.75327973824,71291.75327973824,40938.13173180068,40938.13173180068,40938.13173180068,40938.13173180068,40938.13173180068,40938.13173180068,0.0,0.0,0.0,112229.88501153892,중국
2022-10-01,78234.359211697,38096.10164588548,173446.19015807207,78234.359211697,78234.359211697,27221.38404999206,27221.38404999206,27221.38404999206,27221.38404999206,27221.38404999206,27221.38404999206,0.0,0.0,0.0,105455.74326168906,중국
2022-11-01,85408.42966283204,25582.06988205135,166742.62052935833,85408.42966283204,85408.42966283204,6887.019243882867,6887.019243882867,6887.019243882867,6887.019243882867,6887.019243882867,6887.019243882867,0.0,0.0,0.0,92295.44890671491,중국
2022-12-01,92351.08432946102,37121.58757861941,170860.55436877327,92351.08432946102,92351.08432946102,11952.051952004265,11952.051952004265,11952.051952004265,11952.051952004265,11952.051952004265,11952.051952004265,0.0,0.0,0.0,104303.1362814653,중국
2023-01-01,99525.16117103041,-13638.519741216182,123449.00789438571,99525.16117103041,99525.16117103041,-43224.466726023486,-43224.466726023486,-43224.466726023486,-43224.466726023486,-43224.466726023486,-43224.466726023486,0.0,0.0,0.0,56300.69444500693,중국
2023-02-01,106699.25683299387,26430.71022939808,169305.13584368065,106699.25683299387,106699.25683299387,-2049.114448524798,-2049.114448524798,-2049.114448524798,-2049.114448524798,-2049.114448524798,-2049.114448524798,0.0,0.0,0.0,104650.14238446907,중국
2023-03-01,113179.08525024945,67766.62126255839,201531.66399693806,113179.08525024945,113179.08525024945,21873.122722195058,21873.122722195058,21873.122722195058,21873.122722195058,21873.122722195058,21873.122722195058,0.0,0.0,0.0,135052.2079724445,중국
2023-04-01,120353.18103525482,79745.1874170917,211958.23428564492,120353.18103525482,120353.18103525482,24311.498923441653,24311.498923441653,24311.498923441653,24311.498923441653,24311.498923441653,24311.498923441653,0.0,0.0,0.0,144664.67995869648,중국
2023-05-01,127295.85440950563,78351.89548420768,208865.7534652181,127295.85440950563,127295.85440950563,15503.43815350015,15503.43815350015,15503.43815350015,15503.43815350015,15503.43815350015,15503.43815350015,0.0,0.0,0.0,142799.2925630058,중국
2023-06-01,134469.95022956477,77604.98453189025,213024.95450027817,134469.95022956477,134469.95022956477,13997.145569040804,13997.145569040804,13997.145569040804,13997.145569040804,13997.145569040804,13997.145569040804,0.0,0.0,0.0,148467.0957986056,중국
2023-07-01,141412.62360381553,104338.73112886221,246337.87948807472,141412.62360381553,141412.62360381553,33371.91462291045,33371.91462291045,33371.91462291045,33371.91462291045,33371.91462291045,33371.91462291045,0.0,0.0,0.0,174784.538226726,중국
2023-08-01,148586.71942387466,135212.52499160476,271329.1406988906,148586.71942387466,148586.71942387466,54992.9930243051,54992.9930243051,54992.9930243051,54992.9930243051,54992.9930243051,54992.9930243051,0.0,0.0,0.0,203579.71244817975,중국
2023-09-01,155760.81524393382,119706.24470783786,257855.9627525273,155760.81524393382,155760.81524393382,32820.103919115645,32820.103919115645,32820.103919115645,32820.103919115645,32820.103919115645,32820.103919115645,0.0,0.0,0.0,188580.91916304946,중국
2023-10-01,162703.4886181846,116742.6721122694,256044.62839151305,162703.4886181846,162703.4886181846,25371.61929772856,25371.61929772856,25371.61929772856,25371.61929772856,25371.61929772856,25371.61929772856,0.0,0.0,0.0,188075.10791591316,중국
2023-11-01,169877.58443824374,108386.21296066904,243570.95843322377,169877.58443824374,169877.58443824374,7735.7162939355085,7735.7162939355085,7735.7162939355085,7735.7162939355085,7735.7162939355085,7735.7162939355085,0.0,0.0,0.0,177613.30073217925,중국
2023-12-01,176820.25781249453,164719.46059693958,295699.2758214194,176820.25781249453,176820.25781249453,54815.50952768805,54815.50952768805,54815.50952768805,54815.50952768805,54815.50952768805,54815.50952768805,0.0,0.0,0.0,231635.7673401826,중국
2023-12-31,183762.93118674535,-158188.05405244153,-24658.401627776562,183762.92041671192,183762.94140532415,-275770.4277597181,-275770.4277597181,-275770.4277597181,-275770.4277597181,-275770.4277597181,-275770.4277597181,0.0,0.0,0.0,-92007.49657297274,중국
2024-01-31,190937.02700680445,91280.62364662653,227986.58889078136,190936.99084220853,190937.05884345388,-30548.055434521575,-30548.055434521575,-30548.055434521575,-30548.055434521575,-30548.055434521575,-30548.055434521575,0.0,0.0,0.0,160388.97157228287,중국
2024-02-29,197648.27793524685,162967.25759208918,297834.7143481403,197648.20943534537,197648.34058417982,32776.64294290568,32776.64294290568,32776.64294290568,32776.64294290568,32776.64294290568,32776.64294290568,0.0,0.0,0.0,230424.92087815254,중국
2024-03-31,204822.37375530603,174057.415211834,310591.8877034722,204822.26536693363,204822.47453734695,35087.90990634421,35087.90990634421,35087.90990634421,35087.90990634421,35087.90990634421,35087.90990634421,0.0,0.0,0.0,239910.28366165026,중국
2024-04-30,211765.04712955683,159878.6785732864,289585.54841094447,211764.89380743774,211765.18605609008,15965.904782717247,15965.904782717247,15965.904782717247,15965.904782717247,15965.904782717247,15965.904782717247,0.0,0.0,0.0,227730.95191227406,중국
2024-05-31,218939.14294961595,155459.90964740847,292042.11294087063,218938.93395230116,218939.33029457854,6621.847263782986,6621.847263782986,6621.847263782986,6621.847263782986,6621.847263782986,6621.847263782986,0.0,0.0,0.0,225560.99021339894,중국
2024-06-30,225881.81632386675,190287.49560395905,323433.6008243899,225881.55442333285,225882.05789648573,30499.064303341835,30499.064303341835,30499.064303341835,30499.064303341835,30499.064303341835,30499.064303341835,0.0,0.0,0.0,256380.8806272086,중국
2024-07-31,233055.91214392585,228460.47484560646,360778.03701122996,233055.58812748856,233056.20914333782,59687.6390836253,59687.6390836253,59687.6390836253,59687.6390836253,59687.6390836253,59687.6390836253,0.0,0.0,0.0,292743.5512275511,중국
2024-08-31,240230.00796398503,200734.67932839858,335326.20863459323,240229.61066415455,240230.35715821967,24698.96791166668,24698.96791166668,24698.96791166668,24698.96791166668,24698.96791166668,24698.96791166668,0.0,0.0,0.0,264928.9758756517,중국
2024-09-30,247172.68133823582,201413.16350648977,336377.91569520696,247172.22009464327,247173.10159373435,23786.987797579834,23786.987797579834,23786.987797579834,23786.987797579834,23786.987797579834,23786.987797579834,0.0,0.0,0.0,270959.66913581564,중국
2024-10-31,254346.77715829492,192615.83295908067,330418.29796384054,254346.2470694658,254347.2769439326,9045.774684060336,9045.774684060336,9045.774684060336,9045.774684060336,9045.774684060336,9045.774684060336,0.0,0.0,0.0,263392.5518423553,중국
2024-11-30,261289.45053254574,283184.2792458704,426650.0609484345,261288.85035397654,261290.0325136323,96928.15365518435,96928.15365518435,96928.15365518435,96928.15365518435,96928.15365518435,96928.15365518435,0.0,0.0,0.0,358217.6041877301,중국
2021-01-01,1.5437775,-5.270362006150603,4.61095813582205,1.5437775,1.5437775,-1.7713920694529575,-1.7713920694529575,-1.7713920694529575,-1.7713920694529575,-1.7713920694529575,-1.7713920694529575,0.0,0.0,0.0,-0.22761456945295744,중앙아프리카공화국
2021-02-01,1.6376552020676691,-5.082078472656379,4.524156048666005,1.6376552020676691,1.6376552020676691,-2.446794658725766,-2.446794658725766,-2.446794658725766,-2.446794658725766,-2.446794658725766,-2.446794658725766,0.0,0.0,0.0,-0.809139456658097,중앙아프리카공화국
2021-03-01,1.7224479647491422,-4.761857997860489,4.878982098084636,1.7224479647491422,1.7224479647491422,-1.53978828609082,-1.53978828609082,-1.53978828609082,-1.53978828609082,-1.53978828609082,-1.53978828609082,0.0,0.0,0.0,0.1826596786583221,중앙아프리카공화국
2021-04-01,1.816325665924082,-5.682090253848656,4.205758386982573,1.816325665924082,1.816325665924082,-2.4451713340461976,-2.4451713340461976,-2.4451713340461976,-2.4451713340461976,-2.4451713340461976,-2.4451713340461976,0.0,0.0,0.0,-0.6288456681221155,중앙아프리카공화국
2021-05-01,1.9071750538524403,-0.8073504862469464,9.010631969445873,1.9071750538524403,1.9071750538524403,1.9745117453410332,1.9745117453410332,1.9745117453410332,1.9745117453410332,1.9745117453410332,1.9745117453410332,0.0,0.0,0.0,3.8816867991934734,중앙아프리카공화국
2021-06-01,2.0010527541862015,-1.343890487507301,8.488407849688734,2.0010527541862015,2.0010527541862015,1.837700545926492,1.837700545926492,1.837700545926492,1.837700545926492,1.837700545926492,1.837700545926492,0.0,0.0,0.0,3.8387533001126934,중앙아프리카공화국
2021-07-01,2.0919021412226697,-4.839277705824949,4.786985701149098,2.0919021412226697,2.0919021412226697,-2.2407380879186714,-2.2407380879186714,-2.2407380879186714,-2.2407380879186714,-2.2407380879186714,-2.2407380879186714,0.0,0.0,0.0,-0.14883594669600164,중앙아프리카공화국
